Distance,Mass,Radius,Cluster
0.0,0.0034448643049764,0.0010101657917188,1
0.0081904612538245,0.0072379807384177,0.0017406320968556,1
0.2952380846243808,0.0517208916396834,0.0730279705235207,0
0.0041904611935845,0.0037896930716529,0.0012159309480954,1
0.0352380807087807,0.0037896930716529,0.0267308103387909,1
0.023809509108095,0.0075828095050942,0.0027591696209197,1
0.0409523665091235,0.0089621245718001,0.0123272493924305,1
0.819047616322476,0.0793071929738017,0.0811556942003955,0
0.0108571279606512,0.0051690081383588,0.0019361089954134,1
0.609523803643238,0.0689623299735074,0.9773658327985766,2
0.1371428441482283,0.0231001040055357,0.0095494197813467,1
0.3714285619622855,0.0362035971392419,0.0088292417340287,0
0.0161904613743045,0.0062034944383882,0.0018332264172251,1
0.3047618942916189,0.0620657546399778,0.0091378894685936,0
0.0619047477770473,0.0051690081383588,0.0452496744126828,1
0.5714285649742855,0.0413760286393891,0.6995828716901976,2
0.2476190362881902,0.0394105046693331,0.0076666686005011,1
0.0323809378086093,0.0065483232050647,0.0090350068904053,1
0.023809509108095,0.0065483232050647,0.0018332264172251,1
0.0024761754534816,0.0655140423067426,0.2088329737320615,1
0.3333333232933331,0.0551691793064482,0.0086234765776521,0
0.0733333193777331,0.0131000697719178,0.0031706999336728,1
0.4095238006312379,0.0431001724727715,0.0143849009561963,0
0.6666666616466665,0.049996747806301,0.0090350068904053,0
0.0495237952096378,0.009651782105153,0.0024505218863548,1
0.083809510011695,0.0051690081383588,0.0864027056879983,1
0.228571416953714,0.0296518505723888,0.0059485295447566,1
0.123809510614095,0.0172380149720356,0.004302408293744,1
0.1047618912796188,0.0120655834718884,0.0069773553266395,1
0.0019047468734473,0.1103417819746848,0.0431920228489171,1
0.0010476040033959,0.0310311656390947,0.0061542947011332,1
0.0771428432446283,0.0099966108718295,0.004302408293744,1
1.0,0.1137900696414496,0.0205578556474936,0
0.1142857009468569,0.014651799221962,0.0308461134663225,1
0.5619047553070474,0.0293070218057123,0.0699414931778721,0
0.0015237944867578,0.058617466973213,0.2057464963864129,1
0.2571428459554283,0.0196518163387709,0.0267308103387909,1
0.1333333202813331,0.0120655834718884,0.0069773553266395,1
0.5999999939759998,0.0310311656390947,0.133728691654611,0
0.0990476054792759,0.0210311314054768,0.0034793476682377,1
0.0771428432446283,0.0082379841617795,0.0028311874256515,1
0.3714285619622855,0.0241345903055651,0.0946333119430613,0
0.103809510312895,0.009651782105153,0.0033764650900494,1
0.1714285589502855,0.0203414738721239,0.0049197037628738,1
0.0761904622779045,0.0082724670384471,0.0029649347772963,1
0.4761904683019046,0.0465484601395362,0.0102695978286648,0
0.4095238006312379,0.0186173300387415,0.0401055455032684,0
0.1714285589502855,0.010341439638506,0.0514226291039802,1
0.1866666544178664,0.0072379807384177,0.09771978928871,1
0.6219047562106474,0.0517208916396834,0.1440169494734398,0
0.3428571329605712,0.009651782105153,0.2880525589370437,0
0.0113333184440131,0.0026965858812884,0.0009000814330573,1
0.018971413797138,0.0034138297159755,0.001236507463733,1
0.0099809374712653,0.0028241725249587,0.0007426710884292,1
0.0084761755438416,0.0689623299735074,0.4989618442230351,2
0.0071428421904283,0.3448253433146903,0.061710886922809,1
0.8447619024240189,0.0155138711386532,0.0457640873036243,0
0.0057142707403426,0.0662036998400955,1.0,2
0.0421428427175283,0.0043759019750029,0.0015040021670226,1
0.0077656993426657,0.0758589053070369,0.6543145372873507,2
0.0052809374004832,0.1034452066411552,0.0781720994329352,1
0.0046666516769464,0.0627554121733307,0.5308554434614046,2
0.0108666517703184,0.002410378004947,0.000665509154788,1
0.1695237970168379,0.002410378004947,0.3065714230109356,1
0.2676190365893903,0.0054793540283676,0.0038291484340779,1
0.0043485564340606,0.0029276211549617,0.0874315314698811,1
0.0343809378387293,0.0026172752649529,0.0009484362448058,1
0.2857142749571427,0.0041345218383294,0.3806468793065033,2
0.0133333184741331,0.0479277752062422,0.0011727202652563,1
0.0122571279817352,0.0020655492382705,0.0005060411585962,1
0.123809510614095,0.0027552067716234,0.0034793476682377,1
0.0037142707102226,0.058617466973213,0.0014422726201096,1
0.023809509108095,0.3448253433146903,0.329205590212359,1
0.1609523683163236,0.0827554806405665,0.3909351371253322,2
0.0048571278702912,0.0241345903055651,0.776744805331414,2
0.0056952231210081,0.0004793369115587,0.0001871051662125,1
0.0040476040485759,0.0004103711582234,0.0001356638771183,1
0.0013999849610837,0.0049276280016853,0.0016068847452109,1
0.1552380825159807,1.0,0.0329037650300882,0
0.1552380825159807,0.6517229456567564,0.0216895640075648,0
0.0172704613905693,0.0655140423067426,0.0003825820647702,1
0.1561904634827045,0.1982041517238516,0.0148684490736813,1
0.0026399849797581,0.0034793471816441,0.0009998775339,1
0.0452380808593807,0.000548302664894,0.0001973934240313,1
0.0050009373962664,0.172410959976451,0.0016686142921238,1
0.0178285566370694,0.000255198213219,8.422258802424412e-05,1
0.1552380825159807,0.0689623299735074,0.0015657317139355,1
0.0377142712222626,0.0003034742405537,0.0001047991036619,1
0.0383809378989693,0.0002379567748852,6.981902707788372e-05,1
0.0128952232294401,0.1589626380760683,2.848103761880456e-05,1
0.0019047468734473,0.6620678086570507,0.0,1
0.0359047473854874,0.0002566204663637,9.658050380371332e-05,1
0.2247618930868188,9.861915305616027e-05,0.0001335843321419,1
0.0830476052383159,0.0001743281156827,8.495072918311381e-05,1
0.1247618915808188,9.203576500167694e-05,0.0001325270799037,1
0.0295237949084378,0.0001348277873558,8.072172023016857e-05,1
0.0272380805883007,0.0001348277873558,8.072172023016857e-05,1
0.0542857000432569,7.228560083822695e-05,0.0001526148724302,1
0.0380952236089521,3.607696653856865e-05,0.0001187828008066,1
0.0323809378086093,0.0001282443993013,8.072172023016857e-05,1
0.0914285577454855,9.203576500167694e-05,0.0001325270799037,1
0.0666666526106664,0.0001677447276282,8.495072918311381e-05,1
0.048571414242914,0.0001677447276282,8.495072918311381e-05,1
0.1552380825159807,6.241051875650195e-05,0.0001526148724302,1
0.123809510614095,6.241051875650195e-05,0.000151557620192,1
0.0666666526106664,0.000151286257492,8.38934769448775e-05,1
0.1057142722463426,0.000151286257492,8.38934769448775e-05,1
0.0961904625791045,4.595204862029364e-05,0.0001430996022861,1
0.1476190347821902,6.241051875650195e-05,0.0001526148724302,1
0.1447618918820188,8.545237694719361e-05,0.0001304125754272,1
0.0333333187753331,0.0001052025411106,8.600798142135012e-05,1
0.0504761761763616,0.0002533287723365,9.5523251565477e-05,1
0.0119790327394518,0.000259912160391,0.0001156110440919,1
0.1752380828171807,0.0002105367499823,0.0001822179351008,1
0.0228571281413712,0.0002105367499823,0.0001822179351008,1
0.0154285566009254,0.000259912160391,8.38934769448775e-05,1
0.0428571284425712,0.0001578696455465,8.38934769448775e-05,1
0.0447618903760188,0.0002862457126089,0.0001029240172331,1
0.1828571305509712,7.228560083822695e-05,0.0001568438813831,1
0.0561904619767045,0.0001447028694375,8.177897246840488e-05,1
0.0761904622779045,5.582713070201863e-05,0.0001187828008066,1
0.0933333196789331,0.0001743281156827,8.495072918311381e-05,1
0.0257142710415426,0.0002368703022003,9.129424261253176e-05,1
0.0199047471445273,0.0002368703022003,0.0001325270799037,1
0.083809510011695,0.0002401619962275,9.235149485076808e-05,1
0.3619047522950474,0.0001776198097099,0.0003809813558892,0
0.0457142713427426,0.0003323294289903,0.0001156110440919,1
0.0283809377483693,6.241051875650195e-05,0.0001208973052831,1
0.0177142709210626,9.53274590289186e-05,8.177897246840488e-05,1
0.0809523671115236,0.000259912160391,9.658050380371332e-05,1
0.0323809378086093,0.0003257460409358,0.0001145537918537,1
0.1352380822147807,0.000124952705274,0.0001896187007685,1
0.0280952234583521,0.0001545779515192,8.38934769448775e-05,1
0.0780952242113521,6.899390681098529e-05,0.000169530908242,1
0.0399999855423997,0.0002072450559551,8.706523365958652e-05,1
0.0657142716439426,0.0,0.0075935561251373,1
