Distance,Mass,Radius
0.0,0.0034448643049764557,0.0010101657917188406
0.008190461253824537,0.007237980738417722,0.0017406320968556886
0.2952380846243808,0.05172089163968348,0.07302797052352078
0.004190461193584536,0.0037896930716529347,0.0012159309480954173
0.035238080708780734,0.0037896930716529347,0.02673081033879096
0.02380950910809501,0.007582809505094201,0.002759169620919745
0.04095236650912359,0.008962124571800116,0.012327249392430574
0.819047616322476,0.07930719297380177,0.08115569420039558
0.010857127960651204,0.00516900813835885,0.0019361089954134368
0.609523803643238,0.06896232997350742,0.9773658327985766
0.13714284414822836,0.023100104005535742,0.009549419781346786
0.3714285619622855,0.036203597139241935,0.008829241734028765
0.016190461374304535,0.006203494438388285,0.0018332264172251484
0.3047618942916189,0.062065754639977835,0.009137889468593632
0.061904747777047395,0.00516900813835885,0.045249674412682885
0.5714285649742855,0.04137602863938911,0.6995828716901976
0.24761903628819026,0.039410504669333185,0.007666668600501105
0.0323809378086093,0.006548323205064764,0.009035006890405343
0.02380950910809501,0.006548323205064764,0.0018332264172251484
0.002476175453481678,0.06551404230674263,0.20883297373206158
0.33333332329333315,0.05516917930644826,0.00862347657765219
0.07333331937773312,0.013100069771917858,0.003170699933672899
0.4095238006312379,0.04310017247277151,0.014384900956196343
0.6666666616466665,0.04999674780630108,0.009035006890405343
0.04952379520963788,0.009651782105153071,0.0024505218863548795
0.08380951001169502,0.00516900813835885,0.0864027056879983
0.22857141695371408,0.029651850572388835,0.005948529544756687
0.12380951061409502,0.017238014972035604,0.004302408293744072
0.10476189127961882,0.012065583471888424,0.006977355326639572
0.0019047468734473925,0.11034178197468486,0.043192022848917114
0.0010476040033959638,0.031031165639094752,0.0061542947011332646
0.07714284324462835,0.00999661087182955,0.004302408293744072
1.0,0.11379006964144962,0.020557855647493652
0.11428570094685693,0.014651799221962013,0.030846113466322503
0.5619047553070474,0.029307021805712357,0.06994149317787213
0.0015237944867578686,0.05861746697321305,0.20574649638641293
0.25714284595542836,0.019651816338770955,0.02673081033879096
0.13333332028133313,0.012065583471888424,0.006977355326639572
0.5999999939759998,0.031031165639094752,0.133728691654611
0.09904760547927598,0.02103113140547687,0.003479347668237764
0.07714284324462835,0.00823798416177951,0.0028311874256515468
0.3714285619622855,0.024134590305565178,0.09463331194306136
0.10380951031289502,0.009651782105153071,0.0033764650900494756
0.1714285589502855,0.020341473872123914,0.004919703762873802
0.07619046227790455,0.008272467038447157,0.0029649347772963217
0.4761904683019046,0.04654846013953629,0.010269597828664805
0.4095238006312379,0.01861733003874152,0.04010554550326846
0.1714285589502855,0.01034143963850603,0.0514226291039802
0.18666665441786645,0.007237980738417722,0.09771978928871002
0.6219047562106474,0.05172089163968348,0.14401694947343985
0.34285713296057124,0.009651782105153071,0.2880525589370437
0.01133331844401311,0.002696585881288497,0.0009000814330573718
0.018971413797138063,0.003413829715975573,0.0012365074637330751
0.0099809374712653,0.002824172524958794,0.0007426710884292905
0.00847617554384168,0.06896232997350742,0.4989618442230351
0.007142842190428346,0.34482534331469034,0.061710886922809044
0.8447619024240189,0.01551387113865321,0.04576408730362433
0.0057142707403426305,0.06620369984009558,1.0
0.04214284271752835,0.004375901975002948,0.001504002167022625
0.007765699342665718,0.07585890530703698,0.6543145372873507
0.005280937400483298,0.10344520664115528,0.07817209943293521
0.004666651676946441,0.06275541217333079,0.5308554434614046
0.010866651770318442,0.0024103780049470193,0.0006655091547880741
0.1695237970168379,0.0024103780049470193,0.3065714230109356
0.2676190365893903,0.00547935402836768,0.003829148434077945
0.0043485564340606875,0.0029276211549617375,0.08743153146988117
0.0343809378387293,0.002617275264952907,0.0009484362448058674
0.2857142749571427,0.004134521838329413,0.3806468793065033
0.01333331847413311,0.04792777520624221,0.0011727202652563361
0.012257127981735203,0.0020655492382705407,0.0005060411585962269
0.12380951061409502,0.0027552067716234987,0.003479347668237764
0.0037142707102226307,0.05861746697321305,0.0014422726201096519
0.02380950910809501,0.34482534331469034,0.32920559021235907
0.1609523683163236,0.08275548064056656,0.3909351371253322
0.004857127870291202,0.024134590305565178,0.776744805331414
0.005695223121008155,0.00047933691155873894,0.0001871051662125326
0.004047604048575964,0.00041037115822344306,0.00013566387711838834
0.0013999849610837733,0.004927628001685314,0.0016068847452109136
0.15523808251598073,1.0,0.032903765030088274
0.15523808251598073,0.6517229456567564,0.02168956400756483
0.017270461390569338,0.06551404230674263,0.00038258206477028074
0.15619046348270454,0.1982041517238516,0.014868449073681301
0.002639984979758173,0.0034793471816441037,0.0009998775339000116
0.04523808085938073,0.0005483026648940347,0.00019739342403136143
0.0050009373962664975,0.172410959976451,0.0016686142921238866
0.017828556637069486,0.00025519821321902766,8.422258802424412e-05
0.15523808251598073,0.06896232997350742,0.0015657317139355983
0.03771427122226264,0.0003034742405537347,0.0001047991036619018
0.0383809378989693,0.00023795677488520377,6.981902707788372e-05
0.012895223229440155,0.15896263807606834,2.848103761880456e-05
0.0019047468734473925,0.6620678086570507,0.0
0.0359047473854874,0.00025662046636376016,9.658050380371331e-05
0.22476189308681885,9.861915305616027e-05,0.00013358433214198401
0.08304760523831597,0.00017432811568271857,8.495072918311381e-05
0.12476189158081884,9.203576500167694e-05,0.0001325270799037477
0.029523794908437873,0.00013482778735581858,8.072172023016857e-05
0.02723808058830073,0.00013482778735581858,8.072172023016857e-05
0.054285700043256925,7.228560083822695e-05,0.0001526148724302377
0.038095223608952164,3.607696653856865e-05,0.0001187828008066757
0.0323809378086093,0.00012824439930133526,8.072172023016857e-05
0.0914285577454855,9.203576500167694e-05,0.0001325270799037477
0.06666665261066644,0.00016774472762823522,8.495072918311381e-05
0.048571414242914064,0.00016774472762823522,8.495072918311381e-05
0.15523808251598073,6.241051875650195e-05,0.0001526148724302377
0.12380951061409502,6.241051875650195e-05,0.00015155762019200138
0.06666665261066644,0.0001512862574920269,8.38934769448775e-05
0.10571427224634264,0.0001512862574920269,8.38934769448775e-05
0.09619046257910455,4.595204862029364e-05,0.0001430996022861109
